	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@79a821ca; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-10-14 15:17:23.683; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-10-14 15:17:23.688; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@61dc06c1 main
INFO  - 2013-10-14 15:17:23.691; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-10-14 15:17:23.704; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-10-14 15:17:23.710; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-10-14 15:17:23.711; org.apache.solr.handler.clustering.ClusteringComponent; Initializing Clustering Engines
INFO  - 2013-10-14 15:17:23.732; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'lingo'
INFO  - 2013-10-14 15:17:23.733; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/lingo-attributes.xml
INFO  - 2013-10-14 15:17:23.890; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'stc'
INFO  - 2013-10-14 15:17:23.891; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/stc-attributes.xml
INFO  - 2013-10-14 15:17:23.897; org.apache.solr.handler.clustering.carrot2.CarrotClusteringEngine; Initializing Clustering Engine 'kmeans'
INFO  - 2013-10-14 15:17:23.897; org.apache.solr.handler.clustering.carrot2.SolrResourceLocator; Loaded Solr resource: clustering/carrot2/kmeans-attributes.xml
INFO  - 2013-10-14 15:17:23.907; org.apache.solr.handler.clustering.ClusteringComponent; Default engine for search results clustering: lingo
INFO  - 2013-10-14 15:17:23.907; org.apache.solr.handler.clustering.ClusteringComponent; Finished Initializing Clustering Engines
INFO  - 2013-10-14 15:17:23.908; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-10-14 15:17:23.929; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-10-14 15:17:23.929; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@61dc06c1 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-10-14 15:17:23.929; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-10-14 15:17:23.931; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example
INFO  - 2013-10-14 15:17:23.931; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-10-14 15:17:23.957; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-10-14 15:17:23.960; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=30 
INFO  - 2013-10-14 15:17:23.961; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-14 15:17:23.961; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-10-14 15:17:23.961; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-10-14 15:17:23.961; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@61dc06c1 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-10-14 15:17:43.821; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1381731463816&wt=json} status=0 QTime=1 
INFO  - 2013-10-14 15:17:43.878; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1381731463843&wt=json} status=0 QTime=32 
INFO  - 2013-10-14 15:17:46.135; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1381731466121&contentType=text/html;charset%3Dutf-8} status=0 QTime=2 
INFO  - 2013-10-14 15:17:46.135; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1381731466120&contentType=text/html;charset%3Dutf-8} status=0 QTime=1 
INFO  - 2013-10-14 15:17:46.167; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={numTerms=0&_=1381731466155&show=index&wt=json} status=0 QTime=1 
